Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID
"00:00:00,400","00:00:03,000",SPEAKER_30,"00:00:00,000","00:00:08,000","Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.",G09
"00:00:01,600","00:00:01,700",SPEAKER_47,"00:00:00,000","00:00:08,000","Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.",
"00:00:01,700","00:00:02,200",SPEAKER_15,"00:00:00,000","00:00:08,000","Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.",
"00:00:02,200","00:00:02,399",SPEAKER_15,"00:00:00,000","00:00:08,000","Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.",
"00:00:04,500","00:00:08,599",SPEAKER_30,"00:00:00,000","00:00:08,000","Off we go then, Hank is away, he won't have to road too hard, the wind will pick us up soon.",G09
"00:00:09,500","00:00:09,500",SPEAKER_15,"00:00:09,000","00:00:12,000","Goodbye, have a good time, everyone.",
"00:00:09,500","00:00:09,599",SPEAKER_06,"00:00:09,000","00:00:12,000","Goodbye, have a good time, everyone.",
"00:00:09,599","00:00:11,900",SPEAKER_15,"00:00:09,000","00:00:12,000","Goodbye, have a good time, everyone.",
"00:00:12,199","00:00:12,300",SPEAKER_06,"00:00:12,000","00:00:17,000","Goodbye, Snuffkin, now  don't forget to shut all the windows if it rains, will you?",
"00:00:12,300","00:00:17,600",SPEAKER_30,"00:00:12,000","00:00:17,000","Goodbye, Snuffkin, now don't forget to shut all the windows if it rains, will you?",G09
"00:00:23,399","00:00:24,699",SPEAKER_23,"00:00:23,000","00:00:25,000",Up towards!,
"00:00:31,500","00:00:32,600",SPEAKER_15,"00:00:31,000","00:00:36,000","Hey! Wait for me, I want to have a good time too!",
"00:00:32,700","00:00:38,200",SPEAKER_15,"00:00:31,000","00:00:36,000","Hey! Wait for me, I want to have a good time too!",
"00:00:38,200","00:00:38,299",SPEAKER_04,"00:00:36,000","00:00:39,000","Hey, wait!",G09
"00:00:38,600","00:00:38,600",SPEAKER_04,"00:00:36,000","00:00:39,000","Hey, wait!",G09
"00:00:38,600","00:00:39,600",SPEAKER_15,"00:00:36,000","00:00:39,000","Hey, wait!",
"00:00:42,700","00:00:43,000",SPEAKER_22,"00:00:42,000","00:00:45,000","Look, Snuff is still waving.",G10
"00:00:43,000","00:00:44,299",SPEAKER_45,"00:00:42,000","00:00:45,000","Look, Snuff is still waving.",
"00:00:44,299","00:00:44,299",SPEAKER_22,"00:00:42,000","00:00:45,000","Look, Snuff is still waving.",G10
"00:00:45,200","00:00:46,000",SPEAKER_22,"00:00:45,000","00:00:47,000",He's a sweet boy.,G10
"00:00:46,000","00:00:46,500",SPEAKER_42,"00:00:45,000","00:00:47,000",He's a sweet boy.,
"00:00:48,100","00:00:50,600",SPEAKER_45,"00:00:48,000","00:00:51,000","Let's keep waving, Moonman, till we're out of sight.",
"00:00:51,100","00:00:55,299",SPEAKER_45,"00:00:51,000","00:00:54,000","Bye, Snuffkin! Bye, bye!",
"00:00:56,000","00:00:56,100",SPEAKER_45,"00:00:54,000","00:00:56,000",Bye!,
"00:00:56,500","00:00:56,799",SPEAKER_45,"00:00:56,000","00:01:00,000","No, I'm not waving goodbye, I want to go too!",
"00:00:56,799","00:01:00,200",SPEAKER_36,"00:00:56,000","00:01:00,000","No, I'm not waving goodbye, I want to go too!",
"00:01:00,700","00:01:03,299",SPEAKER_36,"00:01:00,000","00:01:03,000","Don't eat all the road, Mary Tabo, we're gone!",
"00:01:03,299","00:01:03,399",SPEAKER_46,"00:01:03,000","00:01:06,000","It's no good shouting little Mai, he can't hear you.",G08
"00:01:03,500","00:01:06,200",SPEAKER_46,"00:01:03,000","00:01:06,000","It's no good shouting little Mai, he can't hear you.",G08
"00:01:07,099","00:01:11,099",SPEAKER_46,"00:01:06,000","00:01:11,000","He's giving us a great send-off though, for Snuff, he should have come with us.",G08
"00:01:16,299","00:01:19,500",SPEAKER_51,"00:01:16,000","00:01:19,000","Nancy, I'm going off and leaving me here on my own.",
"00:01:30,099","00:01:35,799",SPEAKER_30,"00:01:29,000","00:01:31,000",What do you say?,G09
"00:01:55,400","00:01:56,000",SPEAKER_38,"00:01:55,000","00:01:58,000","Are you sure we're on the right course for the island, Papa?",G09
"00:01:56,000","00:01:56,299",SPEAKER_08,"00:01:55,000","00:01:58,000","Are you sure we're on the right course for the island, Papa?",G07
"00:01:56,299","00:01:56,799",SPEAKER_46,"00:01:55,000","00:01:58,000","Are you sure we're on the right course for the island, Papa?",G08
