Speaker_Start,Speaker_Stop,Speaker,Subtitle_Start,Subtitle_End,Text,Global_ID
"00:00:12,800","00:00:21,199",SPEAKER_20,"00:00:12,500","00:00:14,500",There it is.,G08
"00:00:44,100","00:00:44,100",SPEAKER_19,"00:00:42,500","00:00:49,500","Oh! Hey, hey, hey, hey!",
"00:00:44,100","00:00:45,000",SPEAKER_20,"00:00:42,500","00:00:49,500","Oh! Hey, hey, hey, hey!",G08
"00:00:45,000","00:00:46,000",SPEAKER_19,"00:00:42,500","00:00:49,500","Oh! Hey, hey, hey, hey!",
"00:00:47,000","00:00:54,299",SPEAKER_19,"00:00:42,500","00:00:49,500","Oh! Hey, hey, hey, hey!",
"00:01:13,700","00:01:13,900",SPEAKER_23,"00:01:13,500","00:01:19,500",I got him! I got him!,
"00:01:14,000","00:01:16,799",SPEAKER_23,"00:01:13,500","00:01:19,500",I got him! I got him!,
"00:01:17,500","00:01:19,799",SPEAKER_23,"00:01:13,500","00:01:19,500",I got him! I got him!,
"00:01:23,099","00:01:23,200",SPEAKER_23,"00:01:19,500","00:01:24,500",I got him!,
"00:01:24,500","00:01:24,599",SPEAKER_23,"00:01:19,500","00:01:24,500",I got him!,
"00:01:37,599","00:01:38,700",SPEAKER_48,"00:01:36,500","00:01:38,500",A dragon?,
"00:01:43,700","00:01:44,400",SPEAKER_48,"00:01:43,500","00:01:47,500","Mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm.",
"00:01:44,700","00:01:47,400",SPEAKER_48,"00:01:43,500","00:01:47,500","Mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm, mm-hmm.",
"00:01:48,099","00:01:49,500",SPEAKER_48,"00:01:47,500","00:01:49,500",Papa!,
